dt_issue_date,violation_description,tickets_issued
2025-06-04,OVERNIGHT TRACTOR TRAILER PKG,30
2023-10-12,NO STAND TAXI/FHV RELIEF STAND,25
2024-03-12,NO STAND TAXI/FHV RELIEF STAND,20
2026-06-30,FIRE HYDRANT,2
2024-09-13,OTHER,22
2024-06-27,CROSSWALK,240
2023-12-04,NO PARKING-DAY/TIME LIMITS,1583
2025-05-20,FAIL TO DSPLY MUNI METER RECPT,4977
2024-07-27,SAFETY ZONE,109
2025-06-14,NO STANDING-DAY/TIME LIMITS,1496
2025-01-17,OTHER,7
2055-04-12,NO STANDING-BUS STOP,1
2024-04-18,INSP STICKER-MUTILATED/C'FEIT,36
2023-09-13,NO STANDING-BUS STOP,916
2023-11-10,DETACHED TRAILER,91
2024-04-14,BIKE LANE,58
2024-04-10,NO PARKING-EXC. DSBLTY PERMIT,11
2025-07-04,REG STICKER-MUTILATED/C'FEIT,3
2024-09-24,NO STANDING-EXC. TRUCK LOADING,451
2025-03-31,ANGLE PARKING,4
2025-05-05,NO STANDING-COMM METER ZONE,554
2024-09-22,NGHT PKG ON RESID STR-COMM VEH,35
2024-01-04,CROSSWALK,211
2025-05-28,RAILROAD CROSSING,1
2025-04-14,NO STANDING-OFF-STREET LOT,1634
2025-02-24,FIRE HYDRANT,1878
2024-11-04,FAILURE TO STOP AT RED LIGHT,1774
2026-05-26,FIRE HYDRANT,1
2024-01-30,INTERSECTION,4
2025-08-11,INSP. STICKER-EXPIRED/MISSING,1
2024-09-01,UNAUTHORIZED BUS LAYOVER,1
2024-09-15,MOBILE BUS LANE VIOLATION,254
2024-10-26,OBSTRUCTING TRAFFIC/INTERSECT,1
2024-10-17,INSP STICKER-MUTILATED/C'FEIT,50
2024-07-11,FRAUDULENT USE PARKING PERMIT,77
2024-02-18,MISUSE PARKING PERMIT,4
2023-08-29,FAILURE TO STOP AT RED LIGHT,1806
2024-03-23,EXPIRED MUNI MTR-COMM MTR ZN,3
2023-09-14,NO PARKING-EXC. DSBLTY PERMIT,2
2000-01-30,PEDESTRIAN RAMP,1
2025-04-26,PEDESTRIAN RAMP,39
2023-07-14,NO STANDING-EXC. TRUCK LOADING,758
2025-02-18,FAIL TO DISP. MUNI METER RECPT,922
2025-03-19,VIN OBSCURED,150
2023-09-10,WASH/REPAIR VEHCL-REPAIR ONLY,1
2023-07-19,FAIL TO DISP. MUNI METER RECPT,897
2025-07-24,UNAUTHORIZED PASSENGER PICK-UP,1
2024-02-02,OTHER,16
2024-07-12,NO STANDING-COMM METER ZONE,883
2023-10-30,DOUBLE PARKING,1016
2024-08-21,FIRE HYDRANT,2211
2025-05-09,FAILURE TO DISPLAY BUS PERMIT,1
2024-07-29,NO PARKING-EXC. DSBLTY PERMIT,2
2024-05-16,SIDEWALK,196
2024-02-15,NO STANDING-HOTEL LOADING,27
2023-03-17,NO PARKING-EXC. DSBLTY PERMIT,2
2023-10-17,NO PARKING-EXC. DSBLTY PERMIT,13
2024-08-07,PARKED BUS-EXC. DESIG. AREA,20
2024-03-13,IMPROPER REGISTRATION,50
2023-07-26,OBSTRUCTING DRIVEWAY,153
2023-06-18,OBSTRUCTING TRAFFIC/INTERSECT,2
2025-05-22,INSP STICKER-MUTILATED/C'FEIT,3
2024-11-14,PHTO SCHOOL ZN SPEED VIOLATION,11560
2024-06-01,VIN OBSCURED,92
2023-09-13,UNAUTHORIZED PASSENGER PICK-UP,1
2024-06-22,NO STANDING-BUS STOP,552
2023-11-18,EXPIRED MUNI MTR-COMM MTR ZN,14
2023-11-17,NO STANDING-HOTEL LOADING,15
2024-11-22,NO STD(EXC TRKS/GMTDST NO-TRK),1
2024-08-01,OVERNIGHT TRACTOR TRAILER PKG,32
2024-01-05,NO STANDING EXCP D/S,6
2024-04-15,DOUBLE PARKING-MIDTOWN COMML,237
2024-09-15,OBSTRUCTING TRAFFIC/INTERSECT,7
2024-04-01,NO PARKING-STREET CLEANING,11355
2025-05-17,NO MATCH-PLATE/STICKER,39
2024-02-22,FAIL TO DISP. MUNI METER RECPT,1125
2024-10-09,NO PARKING-STREET CLEANING,3459
2024-02-06,INSP. STICKER-EXPIRED/MISSING,2636
2024-03-22,NO STOP/STANDNG EXCEPT PAS P/U,3
2024-07-19,MOBILE BUS LANE VIOLATION,629
2024-03-07,INSP STICKER-MUTILATED/C'FEIT,55
2024-03-15,NO STANDING-HOTEL LOADING,13
2025-07-09,FIRE HYDRANT,2018
2023-07-20,OBSTRUCTING TRAFFIC/INTERSECT,84
2025-06-04,NO PARKING-STREET CLEANING,3751
2024-12-23,NO STANDING-DAY/TIME LIMITS,1502
2024-09-25,FAIL TO DISP. MUNI METER RECPT,187
2024-10-20,PLTFRM LFTS LWRD POS COMM VEH,5
2024-09-26,NO STANDING-BUS LANE,96
2026-10-31,NO STANDING-DAY/TIME LIMITS,1
2021-09-20,NO PARKING-DAY/TIME LIMITS,1
2023-11-29,NO MATCH-PLATE/STICKER,41
2023-06-22,INSP. STICKER-EXPIRED/MISSING,16
2024-04-24,NO STAND TAXI/FHV RELIEF STAND,26
2024-09-27,NO STANDING-COMMUTER VAN STOP,10
2023-12-02,OBSTRUCTING DRIVEWAY,147
2025-02-08,REG STICKER-MUTILATED/C'FEIT,5
2023-08-13,COMML PLATES-UNALTERED VEHICLE,5
2024-03-12,CROSSWALK,376
2025-01-27,PHTO SCHOOL ZN SPEED VIOLATION,9836
2023-05-28,OBSTRUCTING DRIVEWAY,2
2024-01-02,VIN OBSCURED,6
2024-02-02,NO PARKING-TAXI STAND,3
2025-03-21,PHTO SCHOOL ZN SPEED VIOLATION,11544
2023-05-20,REG. STICKER-EXPIRED/MISSING,3
2025-05-21,EXPIRED MUNI MTR-COMM MTR ZN,112
2024-01-16,NO STANDING-BUS LANE,130
2024-04-09,NGHT PKG ON RESID STR-COMM VEH,91
2023-07-11,EXPIRED MUNI METER,1002
2024-11-23,NO STANDING-COMM METER ZONE,638
2024-01-10,NGHT PKG ON RESID STR-COMM VEH,77
2017-12-16,FAIL TO DSPLY MUNI METER RECPT,1
2025-04-16,NO STANDING-COMMUTER VAN STOP,2
2024-07-20,BUS LANE VIOLATION,2112
2024-03-24,OVERNIGHT TRACTOR TRAILER PKG,3
2024-03-27,CROSSWALK,357
2023-07-05,BUS LANE VIOLATION,1382
2024-04-05,WASH/REPAIR VEHCL-REPAIR ONLY,1
2025-03-18,OBSTRUCTING DRIVEWAY,138
2025-07-05,PLTFRM LFTS LWRD POS COMM VEH,191
2024-06-09,OBSTRUCTING DRIVEWAY,163
2024-03-07,NO STANDING-HOTEL LOADING,25
2025-05-14,NO PARKING-DAY/TIME LIMITS,1921
2024-05-06,FRONT OR BACK PLATE MISSING,604
2024-11-08,NO STANDING-BUS LANE,129
2024-02-15,SIDEWALK,255
2024-03-07,FRONT OR BACK PLATE MISSING,911
2025-01-11,NO STOPPING-DAY/TIME LIMITS,59
2024-07-15,OVERTIME PKG-TIME LIMIT POSTED,3
2024-01-05,PCKP DSCHRGE IN PRHBTD ZONE,1
2023-09-15,IDLING,3
2024-04-12,VIN OBSCURED,181
2024-04-09,DOUBLE PARKING-MIDTOWN COMML,318
2024-05-30,BIKE LANE,238
2025-06-24,CROSSWALK,232
2024-06-12,NO PARKING-EXC. AUTH. VEHICLE,5
2023-09-17,NGHT PKG ON RESID STR-COMM VEH,29
2025-02-06,CROSSWALK,236
2023-09-21,EXPIRED MUNI MTR-COMM MTR ZN,97
2023-07-19,NO STANDING-COMM METER ZONE,912
2025-05-06,STORAGE-3HR COMMERCIAL,11
2024-11-10,NO PARKING-EXC. DSBLTY PERMIT,1
2024-01-04,SELLING/OFFERING MCHNDSE-METER,2
2024-08-14,NO STAND TAXI/FHV RELIEF STAND,27
2024-09-05,SIDEWALK,126
2023-07-08,NO STANDING-FOR HIRE VEH STND,1
2025-07-13,NO STANDING-BUS STOP,344
2024-11-08,MISUSE PARKING PERMIT,32
2024-08-22,ANGLE PARKING-COMM VEHICLE,1
2025-01-28,EXPIRED METER-COMM METER ZONE,2169
2023-09-18,DOUBLE PARKING,346
2023-07-01,MISUSE PARKING PERMIT,2
2023-11-09,NO PARKING-EXC. AUTH. VEHICLE,9
2024-10-15,NO STANDING-TAXI STAND,84
2025-06-30,NO STANDING-BUS STOP,592
2024-12-17,EXPIRED MUNI METER,515
2025-06-19,NO PARKING-EXC. DSBLTY PERMIT,4
2025-01-16,NO STANDING-FOR HIRE VEH STND,1
2024-09-13,PCKP DSCHRGE IN PRHBTD ZONE,42
2026-07-11,NGHT PKG ON RESID STR-COMM VEH,1
2024-09-14,PHTO SCHOOL ZN SPEED VIOLATION,18204
2024-01-11,INTERSECTION,5
2025-06-09,NO STOPPING-DAY/TIME LIMITS,219
2025-01-11,MISUSE PARKING PERMIT,7
